primary_location,total_cases,avg_severity,avg_recency,total_risk,normalized_risk,lat,lon
Fugana,1,3,0.1,0.3,0.3,29.3306235,77.3861785
Gaisari Village,1,3,0.1,0.3,0.3,,
Galand,1,3,0.1,0.3,0.3,28.6932876,77.5842617
Ganderbal,1,1,0.1,0.1,0.1,34.2889322,75.0407983
Gandhinagar,1,3,0.1,0.3,0.3,23.2232877,72.6492267
Ganga,2,3,0.175,1.05,0.525,25.7202249,84.1052245
Garo Hills,1,1,0.1,0.1,0.1,25.5,90.5
Ghatampur,1,3,0.1,0.3,0.3,26.1551192,80.1674983
Ghaziabad,4,1.75,0.117839515,0.842716118,0.210679029,28.7749966,77.4586967
Gopeshwar,1,3,0.1,0.3,0.3,30.40878,79.31855
Gorakhpur,1,3,0.1,0.3,0.3,26.6677977,83.3642334
Goregaon,1,3,0.1,0.3,0.3,19.1648688,72.8495492
Gujarat,2,1.5,0.1,0.3,0.15,22.3850051,71.745261
Haldwani,2,3,0.549000999,3.294005996,1.647002998,29.2144809,79.5279012
Hardwar,1,3,0.1,0.3,0.3,29.9384473,78.1452985
Haripur,1,3,0.1,0.3,0.3,24.671957,77.2566483
Haryana,2,3,0.135850559,0.815103354,0.407551677,29,76
Haryana’S Sirsa,1,3,0.25,0.75,0.75,,
Hathras,1,3,0.1,0.3,0.3,27.5724324,78.1116209
Hayrana,1,3,0.1,0.3,0.3,,
Hidma,1,1,0.1,0.1,0.1,,
Hirdepur,1,1,1,1,1,22.7995005,79.0318464
Hungary,1,1,1,1,1,47.5256148,19.0161568
India,98,1.285714286,0.643245013,70.5963828,0.720371253,22.3511148,78.6677428
Indu,1,3,0.1,0.3,0.3,22.3668472,73.148038
Italy,1,1,0.25,0.25,0.25,43.718367,10.3954172
Jagadish,1,2,0.980198673,1.960397347,1.960397347,18.908058,72.8060696
Jagatheeskumar,1,1,0.25,0.25,0.25,,
Jagdishpur,1,1,0.1,0.1,0.1,25.1881075,86.9801518
Jagwas,1,2,0.1,0.2,0.2,,
Jahangirpuri,2,1,0.1,0.2,0.1,28.7259717,77.162658
Jaipur,2,3,0.1,0.6,0.3,26.9154576,75.8189817
Jaisalmer,1,3,0.171015685,0.513047056,0.513047056,26.9116615,70.9124888
Jalpaiguri,1,1,0.1,0.1,0.1,26.6262805,88.7334485
Jammu,10,1.4,0.195668781,2.506687806,0.250668781,32.7185614,74.8580917
Jamnagar,1,3,0.1,0.3,0.3,22.4732415,70.0552102
Jehangirpura,1,2,0.1,0.2,0.2,,
Jharkhand,5,2.2,0.375238154,5.171616931,1.034323386,23.4559809,85.2557301
Jiu-Jitsu,1,1,0.998001999,0.998001999,0.998001999,,
Jodhpur,10,2.3,0.1,2.3,0.23,26.2967719,73.0351433
Jordan,1,1,0.98412732,0.98412732,0.98412732,24.1417483,93.7800908
Junagadh,1,1,0.1,0.1,0.1,21.5220416,70.4582458
K.R.,1,3,0.25,0.75,0.75,23.6394923,79.0627792
Kalani Nagar,1,3,0.1,0.3,0.3,12.9964369,80.2678026
